population,minimum_age,maximum_age,gender,zipcode,geo_id
2,18.0,19.0,female,47034,8600000US47034
448,55.0,59.0,male,37650,8600000US37650
345,35.0,39.0,male,32903,8600000US32903
2053,nan,nan,male,40823,8600000US40823
34,85.0,nan,male,27027,8600000US27027
5,22.0,24.0,female,4691,8600000US04691
344,18.0,19.0,male,21212,8600000US21212
62,85.0,nan,male,82072,8600000US82072
200,15.0,17.0,female,8759,8600000US08759
210,10.0,14.0,male,15478,8600000US15478
158,55.0,59.0,male,35586,8600000US35586
5,75.0,79.0,male,56207,8600000US56207
1032,10.0,14.0,male,68521,8600000US68521
1739,50.0,54.0,male,92040,8600000US92040
77,20.0,20.0,male,2351,8600000US02351
69,35.0,39.0,male,30571,8600000US30571
403,nan,nan,female,99770,8600000US99770
22,75.0,79.0,female,53587,8600000US53587
11,5.0,9.0,female,97364,8600000US97364
59,55.0,59.0,female,79064,8600000US79064
153,0.0,4.0,female,48847,8600000US48847
1261,40.0,44.0,male,48235,8600000US48235
3,75.0,79.0,male,29519,8600000US29519
378,65.0,66.0,male,98837,8600000US98837
58,0.0,4.0,female,21635,8600000US21635
23,15.0,17.0,male,41777,8600000US41777
128,25.0,29.0,female,75567,8600000US75567
54,22.0,24.0,female,39827,8600000US39827
57,40.0,44.0,male,62823,8600000US62823
3,85.0,nan,male,36556,8600000US36556
504,0.0,4.0,female,14227,8600000US14227
11,80.0,84.0,male,69155,8600000US69155
10,67.0,69.0,male,5487,8600000US05487
1965,0.0,4.0,male,77089,8600000US77089
3,21.0,21.0,female,1242,8600000US01242
1,15.0,17.0,male,47420,8600000US47420
280,85.0,nan,female,43545,8600000US43545
132,85.0,nan,female,7676,8600000US07676
16,5.0,9.0,male,94567,8600000US94567
30376,nan,nan,male,20878,8600000US20878
19,62.0,64.0,female,48841,8600000US48841
22,62.0,64.0,male,61759,8600000US61759
2,70.0,74.0,female,40816,8600000US40816
10,85.0,nan,female,36785,8600000US36785
15,85.0,nan,male,82513,8600000US82513
64,30.0,34.0,female,96705,8600000US96705
606,65.0,66.0,female,60016,8600000US60016
110,15.0,17.0,female,83869,8600000US83869
1180,50.0,54.0,female,10308,8600000US10308
1,18.0,19.0,female,72165,8600000US72165
12053,nan,nan,male,20653,8600000US20653
6,70.0,74.0,male,68936,8600000US68936
3,20.0,20.0,female,84726,8600000US84726
155,18.0,19.0,female,8215,8600000US08215
26,22.0,24.0,female,21555,8600000US21555
7,22.0,24.0,male,65564,8600000US65564
16,75.0,79.0,female,62842,8600000US62842
762,45.0,49.0,male,89433,8600000US89433
817,75.0,79.0,female,33134,8600000US33134
446,65.0,66.0,male,60641,8600000US60641
615,60.0,61.0,female,80123,8600000US80123
16,67.0,69.0,female,54137,8600000US54137
156,45.0,49.0,female,47126,8600000US47126
1260,nan,nan,male,46161,8600000US46161
589,55.0,59.0,female,1028,8600000US01028
719,67.0,69.0,male,33810,8600000US33810
1,80.0,84.0,male,44825,8600000US44825
17,22.0,24.0,male,50632,8600000US50632
290,nan,nan,female,22535,8600000US22535
63,62.0,64.0,male,74849,8600000US74849
572,30.0,34.0,female,38112,8600000US38112
58,55.0,59.0,female,43755,8600000US43755
397,55.0,59.0,female,75462,8600000US75462
116,30.0,34.0,male,30629,8600000US30629
88,18.0,19.0,female,98107,8600000US98107
84,30.0,34.0,female,49682,8600000US49682
23,70.0,74.0,male,56644,8600000US56644
14,20.0,20.0,female,62988,8600000US62988
285,50.0,54.0,female,14487,8600000US14487
4329,nan,nan,nan,83628,8600000US83628
1658,40.0,44.0,female,45840,8600000US45840
104,5.0,9.0,female,73103,8600000US73103
383,5.0,9.0,male,73045,8600000US73045
1,22.0,24.0,male,55772,8600000US55772
11,85.0,nan,male,4927,8600000US04927
134,30.0,34.0,male,1226,8600000US01226
64,nan,nan,male,12767,8600000US12767
99,65.0,66.0,female,32347,8600000US32347
1624,5.0,9.0,female,60652,8600000US60652
3,30.0,34.0,female,57246,8600000US57246
29,25.0,29.0,female,65279,8600000US65279
10,85.0,nan,male,71371,8600000US71371
1335,50.0,54.0,male,91104,8600000US91104
71,30.0,34.0,female,29129,8600000US29129
651,25.0,29.0,male,60450,8600000US60450
85,70.0,74.0,female,37357,8600000US37357
60,45.0,49.0,male,56443,8600000US56443
5,22.0,24.0,female,83833,8600000US83833
7,20.0,20.0,male,37175,8600000US37175
235,15.0,17.0,female,19079,8600000US19079
7,80.0,84.0,male,62089,8600000US62089
273,10.0,14.0,male,32459,8600000US32459
59,45.0,49.0,male,25882,8600000US25882
239,10.0,14.0,female,43334,8600000US43334
199,75.0,79.0,female,84065,8600000US84065
89,75.0,79.0,male,76023,8600000US76023
768,22.0,24.0,female,28078,8600000US28078
13,80.0,84.0,male,38332,8600000US38332
19,45.0,49.0,male,70651,8600000US70651
993,55.0,59.0,male,23236,8600000US23236
521,65.0,66.0,female,95476,8600000US95476
35,22.0,24.0,female,49339,8600000US49339
66,30.0,34.0,male,43009,8600000US43009
208,60.0,61.0,female,48625,8600000US48625
228,nan,nan,male,62280,8600000US62280
12,18.0,19.0,female,12130,8600000US12130
100,85.0,nan,female,8048,8600000US08048
66,85.0,nan,female,27358,8600000US27358
129,67.0,69.0,male,32821,8600000US32821
350,15.0,17.0,female,33413,8600000US33413
135,0.0,4.0,female,17954,8600000US17954
25,0.0,4.0,male,25011,8600000US25011
5,60.0,61.0,male,87728,8600000US87728
145,10.0,14.0,male,30833,8600000US30833
7,67.0,69.0,male,99359,8600000US99359
644,10.0,14.0,female,60542,8600000US60542
5,10.0,14.0,female,83821,8600000US83821
36,20.0,20.0,female,62012,8600000US62012
8,18.0,19.0,female,65580,8600000US65580
495,10.0,14.0,female,74948,8600000US74948
